mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
780.75,1921783,109.014344,109.014247,-0.098,-0.896,C2 H5 O5       ,2,5,0,5,0,
-1000.00,1908355,121.029472,121.029503,0.031,0.258,C7 H5 O2       ,7,5,0,2,0,
717.03,2385003,121.973240,121.973110,-0.129,-1.061,C N O6         ,1,0,1,6,0,
493.47,2289652,131.993716,131.993846,0.130,0.982,C3 H2 N O5     ,3,2,1,5,0,
582.37,1999090,137.133483,137.133574,0.091,0.666,C10 H17        ,10,17,0,0,0,
543.50,2100317,138.004381,138.004410,0.029,0.210,C2 H4 N O6     ,2,4,1,6,0,
521.89,1946775,140.980384,140.980445,0.061,0.433,C9 H S         ,9,1,0,0,1,
564.81,2030764,146.045912,146.045881,-0.031,-0.211,C5 H8 N O4     ,5,8,1,4,0,
763.56,2022457,147.118014,147.117924,-0.090,-0.613,C11 H15        ,11,15,0,0,0,
558.35,1915531,150.988388,150.988426,0.038,0.252,C3 H3 O7       ,3,3,0,7,0,
-1000.00,2173312,154.033224,154.033208,-0.016,-0.101,C7 H8 N O S    ,7,8,1,1,1,
-1000.00,2302413,156.989203,156.989095,-0.109,-0.693,C4 H N2 O5     ,4,1,2,5,0,
-1000.00,2065589,160.051478,160.051635,0.157,0.983,C8 H6 N3 O     ,8,6,3,1,0,
555.86,1978446,160.991467,160.991403,-0.063,-0.393,C5 H5 O4 S     ,5,5,0,4,1,
553.06,2149971,161.002802,161.002637,-0.165,-1.027,C4 H5 N2 O3 S  ,4,5,2,3,1,
-1000.00,1961985,161.965518,161.965523,0.005,0.033,C7 N O2 S      ,7,0,1,2,1,
-1000.00,7786250,161.986685,161.986652,-0.032,-0.200,C4 H4 N O4 S   ,4,4,1,4,1,
458.49,2394127,161.997827,161.997886,0.059,0.362,C3 H4 N3 O3 S  ,3,4,3,3,1,
-1000.00,3068433,162.002033,162.001908,-0.125,-0.772,C8 H4 N O S    ,8,4,1,1,1,
-1000.00,2798475,167.035014,167.034982,-0.032,-0.190,C8 H7 O4       ,8,7,0,4,0,
-1000.00,2916237,168.030271,168.030231,-0.040,-0.236,C7 H6 N O4     ,7,6,1,4,0,
-1000.00,1953427,169.011706,169.011745,0.039,0.229,C11 H5 S       ,11,5,0,0,1,
-1000.00,8659153,171.012176,171.012139,-0.037,-0.217,C7 H7 O3 S     ,7,7,0,3,1,
-1000.00,3790575,171.066323,171.066282,-0.040,-0.236,C8 H11 O4      ,8,11,0,4,0,
598.44,2135569,172.040394,172.040402,0.008,0.047,C10 H6 N O2    ,10,6,1,2,0,
534.12,2132509,172.061633,172.061531,-0.101,-0.589,C7 H10 N O4    ,7,10,1,4,0,
-1000.00,3815747,173.027827,173.027789,-0.038,-0.221,C7 H9 O3 S     ,7,9,0,3,1,
-1000.00,4526413,173.045602,173.045547,-0.055,-0.320,C7 H9 O5       ,7,9,0,5,0,
-1000.00,2473314,173.082009,173.081932,-0.077,-0.443,C8 H13 O4      ,8,13,0,4,0,
-1000.00,2152169,175.061232,175.061197,-0.035,-0.201,C7 H11 O5      ,7,11,0,5,0,
-1000.00,2057850,176.994279,176.994180,-0.099,-0.557,C7 H N2 O4     ,7,1,2,4,0,
-1000.00,2019978,177.019338,177.019332,-0.005,-0.030,C9 H5 O4       ,9,5,0,4,0,
-1000.00,2633632,177.055737,177.055718,-0.020,-0.110,C10 H9 O3      ,10,9,0,3,0,
47.55,25235722,178.054376,178.054338,-0.038,-0.213,C6 H12 N O3 S  ,6,12,1,3,1,
522.95,4164980,179.035013,179.034982,-0.031,-0.174,C9 H7 O4       ,9,7,0,4,0,
616.97,1984374,179.038426,179.038353,-0.073,-0.406,C6 H11 O4 S    ,6,11,0,4,1,
-1000.00,2889611,179.071389,179.071368,-0.021,-0.116,C10 H11 O3     ,10,11,0,3,0,
-1000.00,2634502,180.066628,180.066617,-0.011,-0.061,C9 H10 N O3    ,9,10,1,3,0,
-1000.00,2980638,180.103033,180.103002,-0.030,-0.169,C10 H14 N O2   ,10,14,1,2,0,
427.86,3120236,181.014211,181.014247,0.036,0.199,C8 H5 O5       ,8,5,0,5,0,
218.66,4935812,181.050681,181.050632,-0.049,-0.269,C9 H9 O4       ,9,9,0,4,0,
474.79,2705051,181.086979,181.087018,0.039,0.217,C10 H13 O3     ,10,13,0,3,0,
68.51,12630765,181.991773,181.991738,-0.036,-0.195,C7 H4 N O3 S   ,7,4,1,3,1,
218.07,4837625,182.009511,182.009496,-0.015,-0.084,C7 H4 N O5     ,7,4,1,5,0,
-1000.00,7378705,182.045909,182.045881,-0.028,-0.151,C8 H8 N O4     ,8,8,1,4,0,
-1000.00,3271072,183.029876,183.029897,0.021,0.113,C8 H7 O5       ,8,7,0,5,0,
237.29,5117368,183.066303,183.066282,-0.021,-0.113,C9 H11 O4      ,9,11,0,4,0,
-1000.00,4117968,183.102666,183.102668,0.002,0.013,C10 H15 O3     ,10,15,0,3,0,
269.19,4380247,184.061551,184.061531,-0.019,-0.104,C8 H10 N O4    ,8,10,1,4,0,
33.35,28078826,185.027807,185.027789,-0.019,-0.100,C8 H9 O3 S     ,8,9,0,3,1,
260.01,6472439,185.045540,185.045547,0.007,0.038,C8 H9 O5       ,8,9,0,5,0,
97.56,7593744,185.081946,185.081932,-0.014,-0.074,C9 H13 O4      ,9,13,0,4,0,
-1000.00,2791360,186.077158,186.077181,0.023,0.124,C8 H12 N O4    ,8,12,1,4,0,
129.37,8121418,187.007057,187.007053,-0.004,-0.021,C7 H7 O4 S     ,7,7,0,4,1,
68.73,11632752,187.061208,187.061197,-0.011,-0.061,C8 H11 O5      ,8,11,0,5,0,
-1000.00,5888138,187.097633,187.097583,-0.050,-0.267,C9 H15 O4      ,9,15,0,4,0,
-1000.00,4559691,188.092824,188.092832,0.008,0.040,C8 H14 N O4    ,8,14,1,4,0,
-1000.00,2004573,188.119308,188.119321,0.013,0.069,C11 H14 N3     ,11,14,3,0,0,
-1000.00,2714084,189.022738,189.022703,-0.035,-0.186,C7 H9 O4 S     ,7,9,0,4,1,
479.77,2891249,189.040482,189.040462,-0.020,-0.107,C7 H9 O6       ,7,9,0,6,0,
-1000.00,4851211,189.076857,189.076847,-0.010,-0.053,C8 H13 O5      ,8,13,0,5,0,
-1000.00,2333388,190.050955,190.050967,0.012,0.061,C10 H8 N O3    ,10,8,1,3,0,
-1000.00,2181760,190.998540,190.998597,0.056,0.295,C9 H3 O5       ,9,3,0,5,0,
-1000.00,2905475,191.002007,191.001968,-0.039,-0.204,C6 H7 O5 S     ,6,7,0,5,1,
455.57,3502491,191.035017,191.034982,-0.035,-0.181,C10 H7 O4      ,10,7,0,4,0,
285.77,3660189,191.038389,191.038353,-0.035,-0.185,C7 H11 O4 S    ,7,11,0,4,1,
-1000.00,2129589,191.071325,191.071368,0.043,0.226,C11 H11 O3     ,11,11,0,3,0,
-1000.00,2466453,192.066592,192.066617,0.024,0.127,C10 H10 N O3   ,10,10,1,3,0,
671.97,5639539,193.050627,193.050632,0.005,0.027,C10 H9 O4      ,10,9,0,4,0,
-1000.00,4029326,193.086971,193.087018,0.047,0.242,C11 H13 O3     ,11,13,0,3,0,
-1000.00,3546000,193.090341,193.090389,0.048,0.249,C8 H17 O3 S    ,8,17,0,3,1,
-1000.00,2289985,194.005615,194.005473,-0.142,-0.733,C3 H4 N3 O7    ,3,4,3,7,0,
