mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
-1000.00,2060281,113.983305,113.983281,-0.024,-0.211,C3 N O4        ,3,0,1,4,0,
-1000.00,2064151,114.009732,114.009771,0.038,0.337,C6 N3          ,6,0,3,0,0,
470.32,2200831,127.019007,127.018938,-0.069,-0.540,C9 H3 O        ,9,3,0,1,0,
574.83,1899392,127.087627,127.087687,0.059,0.465,C6 H11 N2 O    ,6,11,2,1,0,
553.47,2094864,127.998825,127.998931,0.106,0.827,C4 H2 N O4     ,4,2,1,4,0,
-1000.00,2056661,134.006884,134.006994,0.109,0.817,C7 H4 N S      ,7,4,1,0,1,
-1000.00,2061332,136.972897,136.972776,-0.121,-0.886,C2 H O7        ,2,1,0,7,0,
-1000.00,2034102,139.983577,139.983675,0.098,0.703,C H2 N O7      ,1,2,1,7,0,
-1000.00,2110999,145.098248,145.098251,0.003,0.022,C6 H13 N2 O2   ,6,13,2,2,0,
-1000.00,1978818,148.022519,148.022644,0.124,0.840,C8 H6 N S      ,8,6,1,0,1,
-1000.00,1931971,150.055906,150.056052,0.146,0.971,C8 H8 N O2     ,8,8,1,2,0,
552.35,2034277,155.028320,155.028457,0.138,0.889,C6 H7 N2 O S   ,6,7,2,1,1,
-1000.00,2067080,156.048722,156.048859,0.136,0.874,C7 H10 N O S   ,7,10,1,1,1,
-1000.00,2010166,162.031047,162.030900,-0.147,-0.905,C7 H4 N3 O2    ,7,4,3,2,0,
-1000.00,2158392,162.034206,162.034271,0.066,0.405,C4 H8 N3 O2 S  ,4,8,3,2,1,
-1000.00,2009411,162.056043,162.056052,0.009,0.053,C9 H8 N O2     ,9,8,1,2,0,
-1000.00,2234696,162.067186,162.067285,0.099,0.612,C8 H8 N3 O     ,8,8,3,1,0,
-1000.00,2092772,169.011728,169.011745,0.017,0.098,C11 H5 S       ,11,5,0,0,1,
-1000.00,2321730,174.023080,174.023038,-0.042,-0.243,C6 H8 N O3 S   ,6,8,1,3,1,
