mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
777.94,1895657,104.994093,104.994180,0.088,0.834,C H N2 O4      ,1,1,2,4,0,
-1000.00,1926584,112.970328,112.970274,-0.054,-0.476,C4 H O2 S      ,4,1,0,2,1,
573.32,2184009,120.020237,120.020335,0.098,0.818,C5 H2 N3 O     ,5,2,3,1,0,
-1000.00,2016116,123.092792,123.092772,-0.020,-0.160,C7 H11 N2      ,7,11,2,0,0,
-1000.00,2530592,125.998484,125.998537,0.053,0.419,C8 N O         ,8,0,1,1,0,
742.34,1942888,131.013922,131.013853,-0.069,-0.530,C8 H3 O2       ,8,3,0,2,0,
-1000.00,2168552,131.017217,131.017224,0.007,0.054,C5 H7 O2 S     ,5,7,0,2,1,
-1000.00,1950205,134.082254,134.082267,0.012,0.093,C5 H12 N O3    ,5,12,1,3,0,
578.59,1903381,135.020149,135.020001,-0.148,-1.094,C6 H3 N2 O2    ,6,3,2,2,0,
-1000.00,1948570,139.112849,139.112839,-0.010,-0.073,C9 H15 O       ,9,15,0,1,0,
-1000.00,2011866,141.009502,141.009436,-0.066,-0.467,C8 H N2 O      ,8,1,2,1,0,
-1000.00,2170181,151.149270,151.149224,-0.046,-0.301,C11 H19        ,11,19,0,0,0,
573.80,1985097,154.004597,154.004685,0.088,0.570,C8 N3 O        ,8,0,3,1,0,
-1000.00,2115263,157.159935,157.159789,-0.146,-0.927,C10 H21 O      ,10,21,0,1,0,
533.76,1951487,159.066329,159.066282,-0.047,-0.294,C7 H11 O4      ,7,11,0,4,0,
-1000.00,5723222,161.986688,161.986652,-0.036,-0.224,C4 H4 N O4 S   ,4,4,1,4,1,
-1000.00,2086113,162.009874,162.009771,-0.103,-0.637,C10 N3         ,10,0,3,0,0,
-1000.00,2315187,168.030297,168.030231,-0.066,-0.393,C7 H6 N O4     ,7,6,1,4,0,
726.03,2076864,168.960160,168.960103,-0.056,-0.334,C6 H O4 S      ,6,1,0,4,1,
-1000.00,1971476,169.994324,169.994240,-0.084,-0.496,C2 H4 N O8     ,2,4,1,8,0,
-1000.00,2351526,170.024894,170.024752,-0.142,-0.838,C10 H4 N O2    ,10,4,1,2,0,
-1000.00,2240071,170.082174,170.082267,0.093,0.548,C8 H12 N O3    ,8,12,1,3,0,
174.97,5829994,171.012187,171.012139,-0.048,-0.281,C7 H7 O3 S     ,7,7,0,3,1,
-1000.00,2824586,171.066326,171.066282,-0.043,-0.253,C8 H11 O4      ,8,11,0,4,0,
293.38,3408427,173.027808,173.027789,-0.019,-0.111,C7 H9 O3 S     ,7,9,0,3,1,
-1000.00,2677302,173.045617,173.045547,-0.070,-0.402,C7 H9 O5       ,7,9,0,5,0,
522.88,2101994,174.970750,174.970668,-0.082,-0.469,C5 H3 O5 S     ,5,3,0,5,1,
-1000.00,2588218,175.097617,175.097583,-0.034,-0.194,C8 H15 O4      ,8,15,0,4,0,
-1000.00,1999380,177.019320,177.019332,0.012,0.069,C9 H5 O4       ,9,5,0,4,0,
-1000.00,2014868,177.989470,177.989429,-0.041,-0.232,C6 N3 O4       ,6,0,3,4,0,
753.84,2183249,179.035001,179.034982,-0.019,-0.105,C9 H7 O4       ,9,7,0,4,0,
-1000.00,3011946,179.071423,179.071368,-0.056,-0.311,C10 H11 O3     ,10,11,0,3,0,
-1000.00,2184842,179.119092,179.118987,-0.105,-0.587,C10 H15 N2 O   ,10,15,2,1,0,
-1000.00,2552822,180.030293,180.030231,-0.062,-0.346,C8 H6 N O4     ,8,6,1,4,0,
280.57,3552949,181.050681,181.050632,-0.049,-0.270,C9 H9 O4       ,9,9,0,4,0,
-1000.00,2091709,181.061789,181.061866,0.077,0.425,C8 H9 N2 O3    ,8,9,2,3,0,
-1000.00,3385039,181.087025,181.087018,-0.007,-0.038,C10 H13 O3     ,10,13,0,3,0,
106.07,10510151,181.991783,181.991738,-0.045,-0.250,C7 H4 N O3 S   ,7,4,1,3,1,
491.61,3679571,182.009469,182.009496,0.027,0.147,C7 H4 N O5     ,7,4,1,5,0,
-1000.00,6358893,182.045914,182.045881,-0.033,-0.179,C8 H8 N O4     ,8,8,1,4,0,
-1000.00,2053363,182.960296,182.960497,0.201,1.099,C3 H3 O7 S     ,3,3,0,7,1,
366.20,3533861,183.029912,183.029897,-0.015,-0.081,C8 H7 O5       ,8,7,0,5,0,
-1000.00,4672063,183.066313,183.066282,-0.030,-0.165,C9 H11 O4      ,9,11,0,4,0,
-1000.00,3309145,183.102678,183.102668,-0.010,-0.055,C10 H15 O3     ,10,15,0,3,0,
-1000.00,5204744,184.061553,184.061531,-0.021,-0.115,C8 H10 N O4    ,8,10,1,4,0,
560.55,2001322,184.991459,184.991403,-0.056,-0.303,C7 H5 O4 S     ,7,5,0,4,1,
41.72,22738884,185.027810,185.027789,-0.021,-0.112,C8 H9 O3 S     ,8,9,0,3,1,
-1000.00,3270610,185.045560,185.045547,-0.013,-0.069,C8 H9 O5       ,8,9,0,5,0,
233.70,5088236,185.081942,185.081932,-0.009,-0.051,C9 H13 O4      ,9,13,0,4,0,
572.45,2004829,185.934855,185.935011,0.156,0.836,C N O8 S       ,1,0,1,8,1,
573.17,2107564,186.040812,186.040796,-0.016,-0.084,C7 H8 N O5     ,7,8,1,5,0,
-1000.00,3569350,186.077200,186.077181,-0.019,-0.100,C8 H12 N O4    ,8,12,1,4,0,
-1000.00,8159608,187.007066,187.007053,-0.013,-0.069,C7 H7 O4 S     ,7,7,0,4,1,
-1000.00,8301985,187.061222,187.061197,-0.025,-0.136,C8 H11 O5      ,8,11,0,5,0,
-1000.00,6081980,187.097617,187.097583,-0.034,-0.184,C9 H15 O4      ,9,15,0,4,0,
-1000.00,1999556,187.108674,187.108816,0.142,0.757,C8 H15 N2 O3   ,8,15,2,3,0,
-1000.00,3996838,188.092824,188.092832,0.007,0.038,C8 H14 N O4    ,8,14,1,4,0,
675.82,2156405,189.040502,189.040462,-0.040,-0.213,C7 H9 O6       ,7,9,0,6,0,
-1000.00,4703120,189.076847,189.076847,-0.000,-0.001,C8 H13 O5      ,8,13,0,5,0,
-1000.00,4061818,190.051038,190.050967,-0.072,-0.377,C10 H8 N O3    ,10,8,1,3,0,
