mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
-1000.00,2042501,108.020414,108.020335,-0.078,-0.726,C4 H2 N3 O     ,4,2,3,1,0,
-1000.00,2063370,110.007078,110.006994,-0.084,-0.763,C5 H4 N S      ,5,4,1,0,1,
-1000.00,2119358,117.034572,117.034588,0.016,0.137,C8 H5 O        ,8,5,0,1,0,
-1000.00,1965652,117.978094,117.978196,0.101,0.858,C2 N O5        ,2,0,1,5,0,
-1000.00,2025056,130.992080,130.992072,-0.008,-0.059,C3 H3 N2 O2 S  ,3,3,2,2,1,
-1000.00,1972183,132.030194,132.030231,0.038,0.284,C4 H6 N O4     ,4,6,1,4,0,
577.78,2052757,133.008324,133.008374,0.050,0.373,C11 H          ,11,1,0,0,0,
518.14,2160025,133.065763,133.065888,0.126,0.946,C9 H9 O        ,9,9,0,1,0,
-1000.00,2078162,135.971110,135.971002,-0.108,-0.796,C2 H2 N O4 S   ,2,2,1,4,1,
-1000.00,2110337,136.991493,136.991403,-0.090,-0.655,C3 H5 O4 S     ,3,5,0,4,1,
-1000.00,2156093,138.004327,138.004410,0.084,0.607,C2 H4 N O6     ,2,4,1,6,0,
-1000.00,2128212,145.004275,145.004351,0.076,0.523,C7 H N2 O2     ,7,1,2,2,0,
-1000.00,2195965,153.960455,153.960437,-0.017,-0.113,C5 N O3 S      ,5,0,1,3,1,
-1000.00,2566403,153.978319,153.978196,-0.123,-0.801,C5 N O5        ,5,0,1,5,0,
-1000.00,2019938,156.996538,156.996489,-0.049,-0.314,C6 H5 O3 S     ,6,5,0,3,1,
-1000.00,2084395,162.034933,162.034923,-0.011,-0.066,C12 H4 N       ,12,4,1,0,0,
-1000.00,2171239,163.006889,163.007053,0.164,1.005,C5 H7 O4 S     ,5,7,0,4,1,
-1000.00,2081931,166.014726,166.014581,-0.145,-0.872,C7 H4 N O4     ,7,4,1,4,0,
522.17,2237315,172.040406,172.040402,-0.004,-0.021,C10 H6 N O2    ,10,6,1,2,0,
508.80,2305696,176.050110,176.049921,-0.188,-1.070,C5 H10 N3 O2 S ,5,10,3,2,1,
497.24,2316608,177.989245,177.989429,0.185,1.037,C6 N3 O4       ,6,0,3,4,0,
-1000.00,3038677,179.046211,179.046216,0.005,0.027,C8 H7 N2 O3    ,8,7,2,3,0,
-1000.00,2209349,180.030241,180.030231,-0.010,-0.054,C8 H6 N O4     ,8,6,1,4,0,
-1000.00,3246172,180.066632,180.066617,-0.015,-0.085,C9 H10 N O3    ,9,10,1,3,0,
-1000.00,3066581,181.050705,181.050632,-0.072,-0.399,C9 H9 O4       ,9,9,0,4,0,
-1000.00,2614086,182.009481,182.009496,0.015,0.080,C7 H4 N O5     ,7,4,1,5,0,
-1000.00,3526494,182.045896,182.045881,-0.015,-0.082,C8 H8 N O4     ,8,8,1,4,0,
561.98,2354806,182.082264,182.082267,0.003,0.018,C9 H12 N O3    ,9,12,1,3,0,
-1000.00,2167320,183.102714,183.102668,-0.046,-0.252,C10 H15 O3     ,10,15,0,3,0,
559.28,2139483,183.966915,183.966979,0.065,0.352,C H2 N3 O6 S   ,1,2,3,6,1,
-1000.00,2535066,184.061504,184.061531,0.028,0.150,C8 H10 N O4    ,8,10,1,4,0,
-1000.00,2431716,184.170847,184.170688,-0.159,-0.863,C11 H22 N O    ,11,22,1,1,0,
436.91,2358569,185.027796,185.027789,-0.007,-0.037,C8 H9 O3 S     ,8,9,0,3,1,
285.50,3995470,185.081904,185.081932,0.029,0.155,C9 H13 O4      ,9,13,0,4,0,
-1000.00,2083668,186.023133,186.023038,-0.095,-0.512,C7 H8 N O3 S   ,7,8,1,3,1,
363.48,3727012,187.061211,187.061197,-0.014,-0.075,C8 H11 O5      ,8,11,0,5,0,
-1000.00,4011198,187.097642,187.097583,-0.060,-0.318,C9 H15 O4      ,9,15,0,4,0,
-1000.00,2350372,189.055868,189.055718,-0.150,-0.793,C11 H9 O3      ,11,9,0,3,0,
-1000.00,2165742,190.050903,190.050967,0.064,0.337,C10 H8 N O3    ,10,8,1,3,0,
-1000.00,2468616,190.087377,190.087352,-0.025,-0.133,C11 H12 N O2   ,11,12,1,2,0,
-1000.00,2840759,191.034995,191.034982,-0.012,-0.064,C10 H7 O4      ,10,7,0,4,0,
-1000.00,2743743,191.046183,191.046216,0.033,0.171,C9 H7 N2 O3    ,9,7,2,3,0,
-1000.00,2202834,191.071355,191.071368,0.012,0.065,C11 H11 O3     ,11,11,0,3,0,
-1000.00,2878634,192.066629,192.066617,-0.012,-0.064,C10 H10 N O3   ,10,10,1,3,0,
557.75,2028901,193.011634,193.011745,0.110,0.572,C13 H5 S       ,13,5,0,0,1,
153.06,5454722,193.050607,193.050632,0.025,0.129,C10 H9 O4      ,10,9,0,4,0,
-1000.00,3059613,193.087042,193.087018,-0.024,-0.124,C11 H13 O3     ,11,13,0,3,0,
206.31,4525160,194.045870,194.045881,0.012,0.060,C9 H8 N O4     ,9,8,1,4,0,
-1000.00,4343428,194.082250,194.082267,0.016,0.085,C10 H12 N O3   ,10,12,1,3,0,
-1000.00,2375744,195.012315,195.012139,-0.176,-0.902,C9 H7 O3 S     ,9,7,0,3,1,
-1000.00,3652429,195.029904,195.029897,-0.007,-0.036,C9 H7 O5       ,9,7,0,5,0,
-1000.00,7326057,195.066303,195.066282,-0.020,-0.105,C10 H11 O4     ,10,11,0,4,0,
-1000.00,3359108,195.102724,195.102668,-0.056,-0.286,C11 H15 O3     ,11,15,0,3,0,
436.50,2512705,196.025205,196.025146,-0.059,-0.302,C8 H6 N O5     ,8,6,1,5,0,
-1000.00,6382685,196.061563,196.061531,-0.032,-0.161,C9 H10 N O4    ,9,10,1,4,0,
-1000.00,5592911,197.045548,197.045547,-0.001,-0.008,C9 H9 O5       ,9,9,0,5,0,
-1000.00,11069291,197.081937,197.081932,-0.004,-0.023,C10 H13 O4     ,10,13,0,4,0,
-1000.00,4948588,198.077191,198.077181,-0.010,-0.049,C9 H12 N O4    ,9,12,1,4,0,
280.08,3619136,199.007074,199.007053,-0.021,-0.104,C8 H7 O4 S     ,8,7,0,4,1,
456.34,2433614,199.024901,199.024812,-0.089,-0.449,C8 H7 O6       ,8,7,0,6,0,
586.86,3210588,199.043430,199.043439,0.009,0.045,C9 H11 O3 S    ,9,11,0,3,1,
-1000.00,9261418,199.061217,199.061197,-0.020,-0.101,C9 H11 O5      ,9,11,0,5,0,
-1000.00,7665031,199.097615,199.097583,-0.032,-0.162,C10 H15 O4     ,10,15,0,4,0,
-1000.00,2144659,199.112809,199.112839,0.030,0.149,C14 H15 O      ,14,15,0,1,0,
-1000.00,2026952,199.181412,199.181587,0.175,0.878,C11 H23 N2 O   ,11,23,2,1,0,
576.81,2890857,200.038649,200.038688,0.039,0.194,C8 H10 N O3 S  ,8,10,1,3,1,
-1000.00,3862387,201.022671,201.022703,0.032,0.161,C8 H9 O4 S     ,8,9,0,4,1,
-1000.00,2547580,201.033810,201.033937,0.126,0.628,C7 H9 N2 O3 S  ,7,9,2,3,1,
300.04,4834178,201.040450,201.040462,0.012,0.058,C8 H9 O6       ,8,9,0,6,0,
-1000.00,7320478,201.076889,201.076847,-0.041,-0.206,C9 H13 O5      ,9,13,0,5,0,
382.48,3219899,201.113209,201.113233,0.023,0.116,C10 H17 O4     ,10,17,0,4,0,
504.75,3144140,203.056143,203.056112,-0.031,-0.155,C8 H11 O6      ,8,11,0,6,0,
-1000.00,2537945,203.071443,203.071368,-0.075,-0.369,C12 H11 O3     ,12,11,0,3,0,
-1000.00,2359786,203.092531,203.092497,-0.034,-0.166,C9 H15 O5      ,9,15,0,5,0,
-1000.00,2167519,204.030242,204.030231,-0.011,-0.055,C10 H6 N O4    ,10,6,1,4,0,
-1000.00,3334652,204.066576,204.066617,0.040,0.198,C11 H10 N O3   ,11,10,1,3,0,
157.77,7182337,205.017640,205.017618,-0.022,-0.108,C7 H9 O5 S     ,7,9,0,5,1,
95.65,2440200,205.025575,205.025480,-0.094,-0.460,C9 H5 N2 O4    ,9,5,2,4,0,
240.45,5866524,205.050617,205.050632,0.015,0.074,C11 H9 O4      ,11,9,0,4,0,
-1000.00,3646522,205.087076,205.087018,-0.058,-0.282,C12 H13 O3     ,12,13,0,3,0,
532.78,2105669,206.039283,206.039356,0.073,0.357,C9 H8 N3 O S   ,9,8,3,1,1,
406.68,3815754,206.045858,206.045881,0.023,0.112,C10 H8 N O4    ,10,8,1,4,0,
-1000.00,2263912,206.082197,206.082267,0.070,0.341,C11 H12 N O3   ,11,12,1,3,0,
-1000.00,3335781,207.012187,207.012139,-0.049,-0.235,C10 H7 O3 S    ,10,7,0,3,1,
-1000.00,3659380,207.029842,207.029897,0.055,0.264,C10 H7 O5      ,10,7,0,5,0,
-1000.00,2129527,207.033306,207.033268,-0.038,-0.184,C7 H11 O5 S    ,7,11,0,5,1,
700.87,2587773,207.041203,207.041130,-0.073,-0.351,C9 H7 N2 O4    ,9,7,2,4,0,
198.53,7256722,207.066310,207.066282,-0.028,-0.134,C11 H11 O4     ,11,11,0,4,0,
-1000.00,3014299,207.077514,207.077516,0.002,0.011,C10 H11 N2 O3  ,10,11,2,3,0,
-1000.00,4576944,207.102673,207.102668,-0.005,-0.023,C12 H15 O3     ,12,15,0,3,0,
542.49,2145433,208.003168,208.003365,0.197,0.945,C4 H6 N3 O5 S  ,4,6,3,5,1,
446.75,2702763,208.025050,208.025146,0.096,0.462,C9 H6 N O5     ,9,6,1,5,0,
-1000.00,5688778,208.061527,208.061531,0.004,0.021,C10 H10 N O4   ,10,10,1,4,0,
273.00,3894760,208.097890,208.097917,0.027,0.131,C11 H14 N O3   ,11,14,1,3,0,
-1000.00,8122621,209.045558,209.045547,-0.011,-0.054,C10 H9 O5      ,10,9,0,5,0,
728.06,3608838,209.056745,209.056780,0.036,0.170,C9 H9 N2 O4    ,9,9,2,4,0,
-1000.00,8887579,209.081924,209.081932,0.008,0.040,C11 H13 O4     ,11,13,0,4,0,
-1000.00,3752249,209.118257,209.118318,0.061,0.291,C12 H17 O3     ,12,17,0,3,0,
573.93,3095599,210.023094,210.023038,-0.056,-0.266,C9 H8 N O3 S   ,9,8,1,3,1,
267.13,5244989,210.040775,210.040796,0.021,0.101,C9 H8 N O5     ,9,8,1,5,0,
98.84,8204380,210.077184,210.077181,-0.003,-0.012,C10 H12 N O4   ,10,12,1,4,0,
-1000.00,2992763,210.113645,210.113567,-0.078,-0.372,C11 H16 N O3   ,11,16,1,3,0,
523.04,2194538,211.007072,211.007053,-0.019,-0.090,C9 H7 O4 S     ,9,7,0,4,1,
224.10,5281657,211.024820,211.024812,-0.009,-0.042,C9 H7 O6       ,9,7,0,6,0,
-1000.00,15936408,211.061217,211.061197,-0.020,-0.096,C10 H11 O5     ,10,11,0,5,0,
739.12,4766625,211.072439,211.072430,-0.009,-0.040,C9 H11 N2 O4   ,9,11,2,4,0,
118.95,11029430,211.097603,211.097583,-0.020,-0.095,C11 H15 O4     ,11,15,0,4,0,
626.71,3158738,212.038767,212.038688,-0.079,-0.373,C9 H10 N O3 S  ,9,10,1,3,1,
240.20,7118561,212.056447,212.056446,-0.001,-0.006,C9 H10 N O5    ,9,10,1,5,0,
249.10,3943680,212.092829,212.092832,0.002,0.010,C10 H14 N O4   ,10,14,1,4,0,
-1000.00,2183199,212.129334,212.129217,-0.117,-0.551,C11 H18 N O3   ,11,18,1,3,0,
-1000.00,2191370,213.009540,213.009436,-0.104,-0.486,C14 H N2 O     ,14,1,2,1,0,
113.91,7338518,213.022750,213.022703,-0.046,-0.218,C9 H9 O4 S     ,9,9,0,4,1,
-1000.00,7920165,213.040445,213.040462,0.016,0.077,C9 H9 O6       ,9,9,0,6,0,
50.16,24373828,213.076832,213.076847,0.015,0.069,C10 H13 O5     ,10,13,0,5,0,
720.40,3342925,213.088075,213.088080,0.006,0.027,C9 H13 N2 O4   ,9,13,2,4,0,
139.31,9380451,213.113245,213.113233,-0.012,-0.058,C11 H17 O4     ,11,17,0,4,0,
-1000.00,2118503,214.017895,214.017952,0.058,0.270,C8 H8 N O4 S   ,8,8,1,4,1,
700.26,2685318,214.054285,214.054338,0.053,0.247,C9 H12 N O3 S  ,9,12,1,3,1,
110.21,7771541,214.072118,214.072096,-0.022,-0.103,C9 H12 N O5    ,9,12,1,5,0,
487.27,2151604,214.108629,214.108482,-0.148,-0.689,C10 H16 N O4   ,10,16,1,4,0,
-1000.00,8478898,215.001953,215.001968,0.015,0.070,C8 H7 O5 S     ,8,7,0,5,1,
155.95,7034065,215.038336,215.038353,0.017,0.080,C9 H11 O4 S    ,9,11,0,4,1,
63.87,13590752,215.056117,215.056112,-0.005,-0.024,C9 H11 O6      ,9,11,0,6,0,
