mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
537.35,1995184,99.986349,99.986258,-0.091,-0.906,C3 H2 N O S    ,3,2,1,1,1,
-1000.00,1989435,104.980536,104.980445,-0.091,-0.867,C6 H S         ,6,1,0,0,1,
571.14,1910601,105.978103,105.978196,0.092,0.871,C N O5         ,1,0,1,5,0,
551.70,2012450,113.017873,113.017893,0.020,0.176,C4 H5 N2 S     ,4,5,2,0,1,
-1000.00,1977937,117.030655,117.030566,-0.090,-0.766,C3 H5 N2 O3    ,3,5,2,3,0,
-1000.00,2053658,120.012501,120.012473,-0.028,-0.232,C3 H6 N O2 S   ,3,6,1,2,1,
531.05,2069242,124.987952,124.988032,0.080,0.643,C5 H O4        ,5,1,0,4,0,
-1000.00,1924034,127.018868,127.018938,0.070,0.551,C9 H3 O        ,9,3,0,1,0,
-1000.00,2141996,129.092118,129.092103,-0.015,-0.118,C7 H13 O2      ,7,13,0,2,0,
-1000.00,2019684,132.960131,132.960103,-0.028,-0.208,C3 H O4 S      ,3,1,0,4,1,
-1000.00,1981164,133.080628,133.080493,-0.135,-1.014,C5 H13 N2 S    ,5,13,2,0,1,
-1000.00,1904352,135.982233,135.982236,0.002,0.018,C H2 N3 O3 S   ,1,2,3,3,1,
-1000.00,2157316,141.070916,141.070974,0.057,0.407,C11 H9         ,11,9,0,0,0,
-1000.00,1956597,148.087925,148.088021,0.096,0.647,C8 H10 N3      ,8,10,3,0,0,
-1000.00,1928358,150.092559,150.092438,-0.122,-0.811,C9 H12 N O     ,9,12,1,1,0,
-1000.00,1959242,153.070985,153.070974,-0.011,-0.071,C12 H9         ,12,9,0,0,0,
751.98,2036566,158.024719,158.024752,0.033,0.206,C9 H4 N O2     ,9,4,1,2,0,
-1000.00,1949705,158.155082,158.155038,-0.044,-0.276,C9 H20 N O     ,9,20,1,1,0,
533.70,2094903,160.145369,160.145536,0.167,1.040,C7 H18 N3 O    ,7,18,3,1,0,
-1000.00,2145225,161.968033,161.968025,-0.008,-0.049,C3 N O7        ,3,0,1,7,0,
542.67,2423757,161.976903,161.976756,-0.146,-0.904,C6 N3 O S      ,6,0,3,1,1,
-1000.00,2127446,161.998568,161.998537,-0.031,-0.192,C11 N O        ,11,0,1,1,0,
-1000.00,2001881,162.004575,162.004410,-0.165,-1.016,C4 H4 N O6     ,4,4,1,6,0,
465.06,2224605,162.013162,162.013142,-0.020,-0.126,C7 H4 N3 S     ,7,4,3,0,1,
420.20,2574942,162.015704,162.015644,-0.060,-0.372,C3 H4 N3 O5    ,3,4,3,5,0,
-1000.00,1979331,165.019422,165.019332,-0.090,-0.545,C8 H5 O4       ,8,5,0,4,0,
725.24,2228436,165.055733,165.055718,-0.015,-0.090,C9 H9 O3       ,9,9,0,3,0,
-1000.00,2224282,165.996972,165.996823,-0.149,-0.898,C7 H4 N O2 S   ,7,4,1,2,1,
505.21,2064564,166.051045,166.050967,-0.078,-0.471,C8 H8 N O3     ,8,8,1,3,0,
-1000.00,2111148,167.071358,167.071368,0.010,0.058,C9 H11 O3      ,9,11,0,3,0,
419.97,3213200,168.030243,168.030231,-0.011,-0.067,C7 H6 N O4     ,7,6,1,4,0,
-1000.00,3288495,171.012158,171.012139,-0.020,-0.114,C7 H7 O3 S     ,7,7,0,3,1,
-1000.00,1970154,171.121172,171.121295,0.123,0.718,C10 H19 S      ,10,19,0,0,1,
