mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
504.32,2076455,103.087796,103.087687,-0.109,-1.060,C4 H11 N2 O    ,4,11,2,1,0,
-1000.00,1904724,105.993492,105.993452,-0.040,-0.380,C5 N O2        ,5,0,1,2,0,
-1000.00,1921393,107.976130,107.976088,-0.042,-0.392,C H2 N O3 S    ,1,2,1,3,1,
-1000.00,1932576,118.980939,118.980839,-0.101,-0.845,C3 H3 O3 S     ,3,3,0,3,1,
548.01,2056668,119.082723,119.082601,-0.122,-1.023,C4 H11 N2 O2   ,4,11,2,2,0,
-1000.00,2009632,122.036110,122.035985,-0.124,-1.019,C5 H4 N3 O     ,5,4,3,1,0,
-1000.00,2475498,129.993421,129.993452,0.031,0.239,C7 N O2        ,7,0,1,2,0,
-1000.00,1976299,130.008134,130.008056,-0.078,-0.601,C3 H4 N3 O S   ,3,4,3,1,1,
572.93,2062967,136.966275,136.966251,-0.024,-0.178,C H N2 O4 S    ,1,1,2,4,1,
-1000.00,2235756,142.033338,142.033208,-0.130,-0.915,C6 H8 N O S    ,6,8,1,1,1,
-1000.00,1929802,148.022777,148.022644,-0.134,-0.903,C8 H6 N S      ,8,6,1,0,1,
580.03,1948923,149.983199,149.983281,0.082,0.546,C6 N O4        ,6,0,1,4,0,
-1000.00,2313484,150.040871,150.040796,-0.075,-0.498,C4 H8 N O5     ,4,8,1,5,0,
590.01,1936931,155.082624,155.082601,-0.023,-0.147,C7 H11 N2 O2   ,7,11,2,2,0,
552.56,1969147,156.996325,156.996489,0.164,1.044,C6 H5 O3 S     ,6,5,0,3,1,
-1000.00,2564419,159.066344,159.066282,-0.062,-0.389,C7 H11 O4      ,7,11,0,4,0,
-1000.00,1944519,159.077463,159.077516,0.053,0.334,C6 H11 N2 O3   ,6,11,2,3,0,
465.41,2350463,160.991252,160.991403,0.152,0.941,C5 H5 O4 S     ,5,5,0,4,1,
729.78,2100115,161.035657,161.035651,-0.006,-0.035,C8 H5 N2 O2    ,8,5,2,2,0,
-1000.00,9551165,161.986691,161.986652,-0.038,-0.237,C4 H4 N O4 S   ,4,4,1,4,1,
-1000.00,1965634,161.997939,161.997886,-0.053,-0.328,C3 H4 N3 O3 S  ,3,4,3,3,1,
538.72,2101068,162.019689,162.019667,-0.023,-0.139,C8 H4 N O3     ,8,4,1,3,0,
