mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
-1000.00,1904772,105.037878,105.037959,0.081,0.774,C4 H9 O S      ,4,9,0,1,1,
-1000.00,2314558,108.960164,108.960103,-0.060,-0.555,C H O4 S       ,1,1,0,4,1,
-1000.00,1993438,129.070991,129.070974,-0.017,-0.133,C10 H9         ,10,9,0,0,0,
537.53,1947581,129.975780,129.975694,-0.086,-0.662,C7 N S         ,7,0,1,0,1,
652.22,2343790,131.082527,131.082601,0.074,0.567,C5 H11 N2 O2   ,5,11,2,2,0,
552.93,2067436,134.006906,134.006994,0.087,0.652,C7 H4 N S      ,7,4,1,0,1,
-1000.00,1931378,134.082144,134.082267,0.123,0.915,C5 H12 N O3    ,5,12,1,3,0,
-1000.00,2013909,137.003381,137.003288,-0.093,-0.677,C10 H O        ,10,1,0,1,0,
-1000.00,1904028,139.015001,139.014916,-0.085,-0.613,C5 H3 N2 O3    ,5,3,2,3,0,
571.19,1973576,142.983185,142.983341,0.156,1.090,C H3 O8        ,1,3,0,8,0,
-1000.00,2197381,145.029417,145.029503,0.086,0.591,C9 H5 O2       ,9,5,0,2,0,
-1000.00,1922322,148.097919,148.097917,-0.003,-0.017,C6 H14 N O3    ,6,14,1,3,0,
572.38,1947836,152.020090,152.020060,-0.029,-0.194,C3 H6 N O6     ,3,6,1,6,0,
-1000.00,1937263,154.025924,154.025815,-0.110,-0.711,C5 H4 N3 O3    ,5,4,3,3,0,
578.99,1937381,155.050240,155.050238,-0.002,-0.012,C11 H7 O       ,11,7,0,1,0,
-1000.00,2052479,155.118964,155.118987,0.022,0.145,C8 H15 N2 O    ,8,15,2,1,0,
481.37,2265196,156.081774,156.081873,0.098,0.631,C11 H10 N      ,11,10,1,0,0,
387.45,2416696,159.117800,159.117924,0.124,0.779,C12 H15        ,12,15,0,0,0,
754.75,2191022,159.988883,159.988760,-0.123,-0.768,C4 H2 N O6     ,4,2,1,6,0,
571.66,1946035,160.000059,159.999994,-0.066,-0.411,C3 H2 N3 O5    ,3,2,3,5,0,
508.93,1965291,169.029584,169.029503,-0.081,-0.482,C11 H5 O2      ,11,5,0,2,0,
-1000.00,1962779,170.978134,170.978255,0.121,0.709,C2 H3 O9       ,2,3,0,9,0,
-1000.00,1959807,173.165899,173.165937,0.038,0.218,C9 H21 N2 O    ,9,21,2,1,0,
570.26,2376970,174.056159,174.056052,-0.107,-0.615,C10 H8 N O2    ,10,8,1,2,0,
-1000.00,1980694,174.077287,174.077181,-0.105,-0.604,C7 H12 N O4    ,7,12,1,4,0,
553.78,2063856,176.967543,176.967691,0.147,0.832,C4 H O8        ,4,1,0,8,0,
449.97,2244903,177.055791,177.055718,-0.074,-0.416,C10 H9 O3      ,10,9,0,3,0,
-1000.00,3073801,179.034991,179.034982,-0.009,-0.051,C9 H7 O4       ,9,7,0,4,0,
-1000.00,3601440,179.071387,179.071368,-0.019,-0.108,C10 H11 O3     ,10,11,0,3,0,
-1000.00,2070283,180.030295,180.030231,-0.063,-0.352,C8 H6 N O4     ,8,6,1,4,0,
-1000.00,2672422,181.050705,181.050632,-0.072,-0.400,C9 H9 O4       ,9,9,0,4,0,
384.47,2847550,181.087085,181.087018,-0.067,-0.372,C10 H13 O3     ,10,13,0,3,0,
-1000.00,2380439,181.991758,181.991738,-0.020,-0.111,C7 H4 N O3 S   ,7,4,1,3,1,
-1000.00,2083259,182.045855,182.045881,0.026,0.144,C8 H8 N O4     ,8,8,1,4,0,
555.80,2092341,182.989466,182.989489,0.023,0.124,C2 H3 N2 O8    ,2,3,2,8,0,
738.81,2007108,183.012073,183.012139,0.066,0.361,C8 H7 O3 S     ,8,7,0,3,1,
