mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
467.96,2383937,116.965169,116.965188,0.019,0.166,C3 H O3 S      ,3,1,0,3,1,
-1000.00,1918794,123.986182,123.986258,0.076,0.616,C5 H2 N O S    ,5,2,1,1,1,
526.45,2121987,124.970235,124.970274,0.039,0.313,C5 H O2 S      ,5,1,0,2,1,
561.41,1905219,125.994548,125.994514,-0.033,-0.264,C3 N3 O3       ,3,0,3,3,0,
443.33,2201724,133.102285,133.102274,-0.011,-0.083,C10 H13        ,10,13,0,0,0,
-1000.00,1989844,140.976507,140.976422,-0.085,-0.606,C4 H N2 O2 S   ,4,1,2,2,1,
-1000.00,1952223,143.119046,143.118987,-0.059,-0.411,C7 H15 N2 O    ,7,15,2,1,0,
555.58,1916543,151.992572,151.992406,-0.166,-1.092,C5 H2 N3 O S   ,5,2,3,1,1,
522.97,1923124,154.040957,154.041071,0.113,0.736,C9 H4 N3       ,9,4,3,0,0,
-1000.00,2167455,159.002411,159.002243,-0.168,-1.057,C8 H3 N2 S     ,8,3,2,0,1,
-1000.00,2105702,162.128871,162.128823,-0.048,-0.298,C11 H16 N      ,11,16,1,0,0,
-1000.00,1955837,168.975470,168.975359,-0.110,-0.654,C10 H O S      ,10,1,0,1,1,
578.53,2130743,170.046009,170.045881,-0.127,-0.749,C7 H8 N O4     ,7,8,1,4,0,
-1000.00,2177480,171.020111,171.020001,-0.111,-0.646,C9 H3 N2 O2    ,9,3,2,2,0,
-1000.00,2049751,171.973351,171.973504,0.153,0.892,C H2 N O9      ,1,2,1,9,0,
558.78,2184036,171.997431,171.997492,0.061,0.353,C8 H2 N3 S     ,8,2,3,0,1,
496.28,1988980,175.149202,175.149224,0.023,0.129,C13 H19        ,13,19,0,0,0,
-1000.00,2573309,177.092136,177.092103,-0.032,-0.183,C11 H13 O2     ,11,13,0,2,0,
-1000.00,1967432,178.050951,178.050967,0.016,0.088,C9 H8 N O3     ,9,8,1,3,0,
-1000.00,2358442,179.035044,179.034982,-0.062,-0.345,C9 H7 O4       ,9,7,0,4,0,
430.07,2769601,179.071413,179.071368,-0.046,-0.254,C10 H11 O3     ,10,11,0,3,0,
508.45,1981655,179.107793,179.107753,-0.040,-0.223,C11 H15 O2     ,11,15,0,2,0,
